date,time,datetime,region,indicator,importance,prev,forecast,actual,tf_category
2019-05-09 00:00:00,09:30,2019-05-09 09:30:00,中国,4月PPI:同比(%),重要,0.4,0.63,0.9,inflation
2019-05-09 00:00:00,09:30,2019-05-09 09:30:00,中国,4月CPI:同比(%),重要,2.3,2.55,2.5,inflation
2019-05-09 00:00:00,10:00,2019-05-09 10:00:00,中国,4月新增人民币贷款(亿元),重要,16900.0,12846.15,10200.0,credit
2019-05-09 00:00:00,10:00,2019-05-09 10:00:00,中国,4月M1:同比(%),重要,4.6,4.22,2.9,credit
2019-05-09 00:00:00,10:00,2019-05-09 10:00:00,中国,4月M0:同比(%),重要,3.1,,3.5,credit
2019-05-09 00:00:00,10:00,2019-05-09 10:00:00,中国,4月M2:同比(%),重要,8.6,8.51,8.5,credit
2019-05-09 00:00:00,10:00,2019-05-09 10:00:00,中国,4月社会融资规模:当月值(亿元),重要,29602.34,17720.0,16709.54,credit
2019-05-09 00:00:00,10:00,2019-05-09 10:00:00,中国,4月社会融资规模存量:同比(%),重要,11.16,10.6,10.81,credit
2019-05-31 00:00:00,09:00,2019-05-31 09:00:00,中国,5月官方制造业PMI(%),重要,50.1,50.0,49.4,pmi
2019-06-12 00:00:00,09:30,2019-06-12 09:30:00,中国,5月PPI:同比(%),重要,0.9,0.59,0.6,inflation
2019-06-12 00:00:00,09:30,2019-06-12 09:30:00,中国,5月CPI:同比(%),重要,2.5,2.67,2.7,inflation
2019-06-12 00:00:00,16:00,2019-06-12 16:00:00,中国,5月新增人民币贷款(亿元),重要,10200.0,12078.57,11800.0,credit
2019-06-12 00:00:00,16:00,2019-06-12 16:00:00,中国,5月M1:同比(%),重要,2.9,3.67,3.4,credit
2019-06-12 00:00:00,16:00,2019-06-12 16:00:00,中国,5月M0:同比(%),重要,3.5,,4.3,credit
2019-06-12 00:00:00,16:00,2019-06-12 16:00:00,中国,5月M2:同比(%),重要,8.5,8.54,8.5,credit
2019-06-12 00:00:00,16:00,2019-06-12 16:00:00,中国,5月社会融资规模:当月值(亿元),重要,16709.54,13925.0,17123.73,credit
2019-06-12 00:00:00,16:00,2019-06-12 16:00:00,中国,5月社会融资规模存量:同比(%),重要,10.81,10.57,11.03,credit
2019-06-30 00:00:00,09:00,2019-06-30 09:00:00,中国,6月官方制造业PMI(%),重要,49.4,,49.4,pmi
2019-07-10 00:00:00,09:30,2019-07-10 09:30:00,中国,6月PPI:同比(%),重要,0.6,0.14,0.0,inflation
2019-07-10 00:00:00,09:30,2019-07-10 09:30:00,中国,6月CPI:同比(%),重要,2.7,2.7,2.7,inflation
2019-07-12 00:00:00,16:00,2019-07-12 16:00:00,中国,6月新增人民币贷款(亿元),重要,11800.0,16833.33,16600.0,credit
2019-07-12 00:00:00,16:00,2019-07-12 16:00:00,中国,6月M1:同比(%),重要,3.4,3.13,4.4,credit
2019-07-12 00:00:00,16:00,2019-07-12 16:00:00,中国,6月M0:同比(%),重要,4.3,,4.3,credit
2019-07-12 00:00:00,16:00,2019-07-12 16:00:00,中国,6月M2:同比(%),重要,8.5,8.57,8.5,credit
2019-07-12 00:00:00,16:00,2019-07-12 16:00:00,中国,6月社会融资规模:当月值(亿元),重要,17123.73,19914.29,26243.3,credit
2019-07-12 00:00:00,16:00,2019-07-12 16:00:00,中国,6月社会融资规模存量:同比(%),重要,11.03,10.8,11.19,credit
2019-07-15 00:00:00,10:00,2019-07-15 10:00:00,中国,第二季度GDP:当季同比(%),重要,6.4,6.25,6.1,growth
2019-07-31 00:00:00,09:00,2019-07-31 09:00:00,中国,7月官方制造业PMI(%),重要,49.4,49.5,49.7,pmi
2019-08-09 00:00:00,09:30,2019-08-09 09:30:00,中国,7月PPI:同比(%),重要,0.0,-0.13,-0.3,inflation
2019-08-09 00:00:00,09:30,2019-08-09 09:30:00,中国,7月CPI:同比(%),重要,2.7,2.67,2.8,inflation
2019-08-12 00:00:00,17:00,2019-08-12 17:00:00,中国,7月新增人民币贷款(亿元),重要,16600.0,12423.53,10600.0,credit
2019-08-12 00:00:00,17:00,2019-08-12 17:00:00,中国,7月M1:同比(%),重要,4.4,4.46,3.1,credit
2019-08-12 00:00:00,17:00,2019-08-12 17:00:00,中国,7月M0:同比(%),重要,4.3,,4.5,credit
2019-08-12 00:00:00,17:00,2019-08-12 17:00:00,中国,7月M2:同比(%),重要,8.5,8.46,8.1,credit
2019-08-12 00:00:00,17:00,2019-08-12 17:00:00,中国,7月社会融资规模:当月值(亿元),重要,26243.3,14757.14,12872.11,credit
2019-08-12 00:00:00,17:00,2019-08-12 17:00:00,中国,7月社会融资规模存量:同比(%),重要,11.19,11.0,10.85,credit
2019-08-31 00:00:00,09:00,2019-08-31 09:00:00,中国,8月官方制造业PMI(%),重要,49.7,49.7,49.5,pmi
2019-09-10 00:00:00,09:30,2019-09-10 09:30:00,中国,8月PPI:同比(%),重要,-0.3,-0.88,-0.8,inflation
2019-09-10 00:00:00,09:30,2019-09-10 09:30:00,中国,8月CPI:同比(%),重要,2.8,2.62,2.8,inflation
2019-09-11 00:00:00,17:00,2019-09-11 17:00:00,中国,8月新增人民币贷款(亿元),重要,10600.0,11571.43,12100.0,credit
2019-09-11 00:00:00,17:00,2019-09-11 17:00:00,中国,8月M1:同比(%),重要,3.1,3.4,3.4,credit
2019-09-11 00:00:00,17:00,2019-09-11 17:00:00,中国,8月M0:同比(%),重要,4.5,,4.8,credit
2019-09-11 00:00:00,17:00,2019-09-11 17:00:00,中国,8月M2:同比(%),重要,8.1,8.07,8.2,credit
2019-09-11 00:00:00,17:00,2019-09-11 17:00:00,中国,8月社会融资规模:当月值(亿元),重要,12872.11,16070.0,21955.77,credit
2019-09-11 00:00:00,17:00,2019-09-11 17:00:00,中国,8月社会融资规模存量:同比(%),重要,10.85,10.5,10.68,credit
2019-09-30 00:00:00,09:00,2019-09-30 09:00:00,中国,9月官方制造业PMI(%),重要,49.5,49.43,49.8,pmi
2019-10-15 00:00:00,09:30,2019-10-15 09:30:00,中国,9月PPI:同比(%),重要,-0.8,-1.31,-1.2,inflation
2019-10-15 00:00:00,09:30,2019-10-15 09:30:00,中国,9月CPI:同比(%),重要,2.8,2.84,3.0,inflation
2019-10-15 00:00:00,16:30,2019-10-15 16:30:00,中国,9月新增人民币贷款(亿元),重要,12100.0,14214.29,16900.0,credit
2019-10-15 00:00:00,16:30,2019-10-15 16:30:00,中国,9月M1:同比(%),重要,3.4,3.64,3.4,credit
2019-10-15 00:00:00,16:30,2019-10-15 16:30:00,中国,9月M0:同比(%),重要,4.8,,4.0,credit
2019-10-15 00:00:00,16:30,2019-10-15 16:30:00,中国,9月M2:同比(%),重要,8.2,8.19,8.4,credit
